USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 1316
MQ9 R0 for CO = 273
MQ4 R0 for NH4 = 95
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
8|130|44.374874|26.176511|12/09/2017 13:42:24 |486|91|288|63|460.12
8|130|44.374687|26.176765|12/09/2017 13:42:26 |493|92|287|63|481.23
8|130|44.374511|26.177003|12/09/2017 13:42:28 |500|92|288|63|481.23
8|130|44.374343|26.177238|12/09/2017 13:42:30 |501|92|288|63|481.23
8|130|44.374168|26.177476|12/09/2017 13:42:32 |507|92|288|62|481.23
8|130|44.373989|26.177724|12/09/2017 13:42:34 |512|92|288|62|460.12
8|130|44.373798|26.177980|12/09/2017 13:42:36 |518|91|287|62|460.12
8|130|44.373607|26.178236|12/09/2017 13:42:38 |521|91|287|62|439.63
8|130|44.373413|26.178499|12/09/2017 13:42:40 |526|91|286|63|460.12
8|130|44.373210|26.178775|12/09/2017 13:42:42 |531|90|286|61|460.12
8|130|44.373004|26.179059|12/09/2017 13:42:44 |536|90|287|62|460.12
8|130|44.372787|26.179351|12/09/2017 13:42:46 |539|91|286|62|460.12
8|130|44.372566|26.179647|12/09/2017 13:42:48 |545|89|286|62|481.23
8|130|44.372352|26.179941|12/09/2017 13:42:50 |552|89|288|62|460.12
8|130|44.372135|26.180229|12/09/2017 13:42:52 |557|89|288|62|460.12
8|130|44.371921|26.180519|12/09/2017 13:42:54 |557|89|288|62|460.12
8|130|44.371704|26.180814|12/09/2017 13:42:56 |558|90|290|62|481.23
8|130|44.371482|26.181116|12/09/2017 13:42:58 |563|90|289|63|481.23
8|130|44.371261|26.181419|12/09/2017 13:43:00 |569|90|289|62|481.23
8|130|44.371032|26.181728|12/09/2017 13:43:02 |572|90|289|62|460.12
8|130|44.370811|26.182029|12/09/2017 13:43:04 |575|90|290|63|481.23
8|130|44.370590|26.182331|12/09/2017 13:43:06 |581|92|291|63|481.23
8|130|44.370372|26.182630|12/09/2017 13:43:08 |588|91|290|63|481.23
8|130|44.370151|26.182928|12/09/2017 13:43:10 |590|91|291|63|460.12
8|130|44.369930|26.183225|12/09/2017 13:43:12 |597|91|291|62|481.23
8|130|44.369712|26.183523|12/09/2017 13:43:14 |595|91|289|61|481.23
8|130|44.369506|26.183807|12/09/2017 13:43:16 |601|91|290|62|460.12
8|130|44.369335|26.184047|12/09/2017 13:43:18 |607|92|292|63|481.23
8|130|44.369224|26.184198|12/09/2017 13:43:20 |608|93|292|63|481.23
8|130|44.369140|26.184316|12/09/2017 13:43:22 |619|94|292|64|481.23
8|130|44.369052|26.184438|12/09/2017 13:43:24 |618|94|292|63|481.23
8|130|44.368949|26.184579|12/09/2017 13:43:26 |623|95|290|63|481.23
8|130|44.368816|26.184751|12/09/2017 13:43:28 |628|95|291|63|502.96
8|130|44.368659|26.184959|12/09/2017 13:43:30 |635|95|291|63|481.23
8|130|44.368488|26.185192|12/09/2017 13:43:32 |636|95|290|63|481.23
8|130|44.368309|26.185440|12/09/2017 13:43:34 |641|94|290|63|481.23
8|130|44.368110|26.185712|12/09/2017 13:43:36 |646|92|291|63|481.23
8|130|44.367904|26.185995|12/09/2017 13:43:38 |654|94|289|63|481.23
8|130|44.367687|26.186290|12/09/2017 13:43:40 |656|93|289|63|481.23
8|130|44.367473|26.186588|12/09/2017 13:43:42 |659|94|290|63|460.12
8|130|44.367256|26.186895|12/09/2017 13:43:44 |665|93|291|63|481.23
8|130|44.367046|26.187217|12/09/2017 13:43:46 |670|93|291|64|502.96
8|129|44.366851|26.187555|12/09/2017 13:43:48 |677|92|290|64|502.96
8|129|44.366661|26.187904|12/09/2017 13:43:50 |679|93|291|64|502.96
8|129|44.366462|26.188259|12/09/2017 13:43:52 |686|94|291|65|525.31
8|129|44.366264|26.188619|12/09/2017 13:43:54 |690|94|290|65|525.31
